Rank,Title,Lifetime Gross,Year
1,Avatar,"$2,923,706,026",2009
2,Avengers:,"$2,799,439,100",2019
3,Avatar:,"$2,320,250,281",2022
4,Titanic,"$2,264,750,694",1997
5,Star,"$2,071,310,218",2015
6,Avengers:,"$2,052,415,039",2018
7,Spider-Man:,"$1,922,598,800",2021
8,Jurassic,"$1,671,537,444",2015
9,The,"$1,663,079,059",2019
10,The,"$1,520,538,536",2012
11,Furious,"$1,515,342,457",2015
12,Top,"$1,495,696,292",2022
13,Frozen,"$1,453,683,476",2019
14,Barbie,"$1,445,638,421",2023
15,Avengers:,"$1,405,018,048",2015
16,The,"$1,361,992,475",2023
17,Black,"$1,349,926,083",2018
18,Harry,"$1,342,480,797",2011
19,Star,"$1,334,407,706",2017
20,Jurassic,"$1,310,469,037",2018
21,Frozen,"$1,285,048,126",2013
22,Inside,"$1,267,918,459",2024
23,Beauty,"$1,266,115,964",2017
24,Incredibles,"$1,243,225,667",2018
25,The,"$1,236,009,236",2017
26,Iron,"$1,215,577,205",2013
27,Minions,"$1,159,457,503",2015
28,Captain,"$1,155,046,416",2016
29,Aquaman,"$1,152,028,393",2018
30,The,"$1,151,456,948",2003
31,Spider-Man:,"$1,132,679,685",2019
32,Captain,"$1,131,416,446",2019
33,Transformers:,"$1,123,794,079",2011
34,Skyfall,"$1,108,594,137",2012
35,Transformers:,"$1,104,054,072",2014
36,Jurassic,"$1,103,086,582",1993
37,The,"$1,085,289,416",2012
38,Joker,"$1,078,958,629",2019
39,Star,"$1,077,022,372",2019
40,Toy,"$1,073,841,394",2019
41,Toy,"$1,067,316,101",2010
42,Pirates,"$1,066,179,747",2006
43,Rogue,"$1,058,684,742",2016
44,Aladdin,"$1,054,304,000",2019
45,Pirates,"$1,046,721,266",2011
46,Star,"$1,046,515,409",1999
47,Harry,"$1,037,913,579",2001
48,Despicable,"$1,034,800,131",2017
49,Finding,"$1,029,266,989",2016
50,Zootopia,"$1,025,521,689",2016
51,Alice,"$1,025,468,216",2010
52,The,"$1,017,106,749",2012
53,The,"$1,008,524,647",2008
54,Jurassic,"$1,001,978,080",2022
55,The,"$976,850,709",1994
56,Oppenheimer,"$975,227,046",2023
57,Despicable,"$970,766,005",2013
58,The,"$967,724,775",2016
59,Jumanji:,"$962,544,585",2017
60,The,"$962,253,946",2014
61,Pirates,"$961,691,209",2007
62,Harry,"$960,897,696",2010
63,The,"$959,079,095",2013
64,Doctor,"$955,775,804",2022
65,The,"$951,550,637",2002
66,Harry,"$942,603,391",2007
67,Finding,"$941,637,960",2003
68,Minions:,"$940,203,765",2022
69,Harry,"$934,866,401",2009
70,Shrek,"$932,396,221",2004
71,Bohemian,"$910,813,521",2018
72,The,"$902,548,476",2021
73,Harry,"$897,468,952",2005
74,Spider-Man,"$895,735,062",2007
75,The,"$887,433,303",2001
76,Ice,"$886,686,817",2009
77,Harry,"$882,545,232",2002
78,Spider-Man:,"$880,918,840",2017
79,Spectre,"$880,707,597",2015
80,Ice,"$877,244,782",2012
81,The,"$875,698,161",2016
82,Batman,"$874,362,803",2016
83,Wolf,"$870,325,439",2017
84,Star,"$868,390,560",2005
85,The,"$865,011,746",2013
86,Guardians,"$863,756,903",2017
87,Black,"$859,208,836",2022
88,Inside,"$858,852,998",2015
89,Venom,"$856,085,161",2018
90,Thor:,"$855,301,806",2017
91,The,"$848,593,948",2012
92,Guardians,"$845,555,777",2023
93,Inception,"$839,030,630",2010
94,Transformers:,"$836,303,693",2009
95,Spider-Man,"$825,776,725",2002
96,Wonder,"$823,970,682",2017
97,"Hi,","$822,009,764",2021
98,Independence,"$817,400,891",1996
99,Fantastic,"$816,037,575",2016
100,Coco,"$814,641,172",2017
101,Shrek,"$813,367,380",2007
102,Harry,"$808,162,450",2004
103,Jumanji:,"$801,693,929",2019
104,Pirates,"$795,922,298",2017
105,E.T.,"$792,910,554",1982
106,Mission:,"$791,658,205",2018
107,2012,"$791,217,826",2009
108,Spider-Man,"$789,728,142",2004
109,Fast,"$788,683,342",2013
110,Indiana,"$786,636,033",2008
111,Deadpool,"$785,896,632",2018
112,Deadpool,"$782,837,347",2016
113,Star,"$775,398,507",1977
114,No,"$774,153,007",2021
115,Guardians,"$773,350,376",2014
116,Gravity,"$773,031,617",2013
117,The,"$772,245,583",2022
118,Thor:,"$760,928,081",2022
119,Fast,"$760,732,926",2019
120,The,"$760,006,945",2006
121,Maleficent,"$759,853,685",2014
122,The,"$759,159,711",2014
123,The,"$758,682,352",2012
124,Shrek,"$752,600,867",2010
125,Suicide,"$749,200,054",2016
126,Madagascar,"$746,921,274",2012
127,X-Men:,"$746,045,700",2014
128,The,"$745,013,115",2005
129,Monsters,"$743,559,645",2013
130,The,"$741,847,937",2003
131,Up,"$735,102,136",2009
132,Ne,"$726,264,074",2019
133,F9:,"$726,229,501",2021
134,Captain,"$714,421,503",2014
135,The,"$712,205,856",2011
136,Dune:,"$711,844,358",2024
137,The,"$711,048,123",2009
138,Dawn,"$710,644,566",2014
139,The,"$709,734,012",2014
140,Transformers,"$709,709,780",2007
141,Interstellar,"$705,191,242",2014
142,Fast,"$704,875,015",2023
143,It,"$704,242,888",2017
144,The,"$699,992,512",2019
145,The,"$698,513,085",2010
146,The,"$695,220,619",2012
147,Mission:,"$694,713,380",2011
148,Mamma,"$694,667,426",2008
149,Spider-Man:,"$690,897,910",2023
150,Detective,"$686,257,563",2021
151,Mission:,"$682,716,636",2015
152,Forrest,"$678,226,465",1994
153,Doctor,"$677,796,833",2016
154,The,"$672,806,432",1999
155,Man,"$670,145,518",2013
156,Ice,"$667,094,506",2006
157,Kung,"$665,692,281",2011
158,The,"$661,456,867",2015
159,Justice,"$661,326,987",2017
160,Big,"$657,870,525",2014
161,Fantastic,"$655,755,901",2018
162,Pirates,"$654,264,546",2003
163,Men,"$654,213,485",2012
164,Star,"$653,780,724",2002
165,Thor:,"$644,783,140",2013
166,Moana,"$643,332,467",2016
167,Sing,"$634,338,409",2016
168,Wonka,"$632,302,312",2023
169,Kung,"$632,091,832",2008
170,The,"$631,688,498",2004
171,The,"$630,621,406",2015
172,Hancock,"$629,443,428",2008
173,Water,"$626,571,697",2022
174,Fast,"$626,140,012",2011
175,Iron,"$623,933,331",2010
176,Ratatouille,"$623,728,318",2007
177,Ant-Man,"$622,674,139",2018
178,How,"$621,537,519",2014
179,Logan,"$619,180,476",2017
180,The,"$618,638,999",1997
181,Casino,"$616,577,552",2006
182,The,"$612,060,372",2004
183,Life,"$609,016,565",2012
184,Ready,"$607,874,422",2018
185,Transformers:,"$605,425,157",2017
186,Madagascar:,"$603,900,354",2008
187,War,"$603,873,504",2005
188,Tangled,"$592,472,813",2010
189,Quantum,"$589,593,688",2008
190,Men,"$589,390,539",1997
191,The,"$587,266,745",2013
192,The,"$586,764,305",2011
193,Iron,"$585,796,247",2008
194,I,"$585,410,052",2007
195,"Monsters,","$579,723,768",2001
196,Operation,"$579,330,426",2018
197,Night,"$574,482,479",2006
198,Fifty,"$569,651,467",2015
199,The,"$569,626,289",2023
200,Kong:,"$568,652,812",2017
